season_end,player,age,gp,toi,teams
2013,Mika Zibanejad,19.0,42.0,09:29:47,OTT
2013,Josh Bailey,23.0,38.0,10:22:24,NYI
2013,Zdeno Chára,35.0,48.0,19:56:56,BOS
2013,Nick Foligno,25.0,45.0,12:23:36,CBJ
2013,Marcel Goc,29.0,42.0,12:47:19,FLA
2013,Colin Greening,26.0,47.0,11:32:18,OTT
2013,Jack Johnson,26.0,44.0,19:02:51,CBJ
2013,Alex Killorn,23.0,38.0,10:39:07,TBL
2013,Ryan McDonagh,23.0,47.0,19:04:50,NYR
2013,Jakob Silfverberg,22.0,48.0,12:58:59,OTT
2013,Vladimír Sobotka,25.0,48.0,12:21:54,STL
2013,Brandon Sutter,23.0,48.0,13:07:30,PIT
2013,Vladimir Tarasenko,21.0,38.0,08:29:35,STL
2013,Patrick Wiercioch,22.0,42.0,10:59:08,OTT
2013,Colin Wilson,23.0,25.0,06:54:10,NSH
2013,Daniel Winnik,27.0,48.0,13:27:41,ANA
2013,Marek Židlický,35.0,48.0,16:47:44,NJD
2013,Ryane Clowe,30.0,40.0,11:05:19,2TM
2013,Ryane Clowe,30.0,28.0,07:41:00,SJS
2013,Ryane Clowe,30.0,12.0,03:24:19,NYR
2013,Artem Anisimov,24.0,35.0,09:34:18,CBJ
2013,Nik Antropov,32.0,40.0,10:38:16,WPG
2013,Cam Atkinson,23.0,35.0,09:05:31,CBJ
2013,Marcus Foligno,21.0,47.0,10:40:29,BUF
2013,Martin Havlát,31.0,40.0,10:33:44,SJS
2013,Roman Josi,22.0,48.0,18:49:25,NSH
2013,Nick Leddy,21.0,48.0,13:56:08,CHI
2013,Joffrey Lupul,29.0,16.0,04:17:58,TOR
2013,Rich Peverley,30.0,47.0,11:57:07,BOS
2013,Drew Stafford,27.0,46.0,13:02:52,BUF
2013,Jarret Stoll,30.0,48.0,13:12:53,LAK
2013,R.J. Umberger,30.0,48.0,14:47:28,CBJ
2013,Raffi Torres,31.0,39.0,08:37:31,2TM
2013,Raffi Torres,31.0,28.0,06:03:59,PHX
2013,Raffi Torres,31.0,11.0,02:33:32,SJS
2013,Roman Červenka,27.0,39.0,08:32:29,CGY
2013,Joe Corvo,35.0,40.0,12:30:22,CAR
2013,Eric Fehr,27.0,41.0,09:08:13,WSH
2013,Vernon Fiddler,32.0,46.0,09:51:18,DAL
